Posição,Clube,Vitorias,Derrotas,Empates,Gols feitos,Gols sofridos,Pontos
1,Flamengo,6,1,3,18,9,21
2,Botafogo,6,2,2,17,9,20
3,Palmeiras,6,2,2,13,5,20
4,Athletico-PR,5,2,3,14,7,18
5,Bahia,5,2,3,14,11,18
6,Internacional,5,2,3,9,6,18
7,Cruzeiro,5,2,3,12,10,18
8,Atlético-MG,4,2,4,16,14,16
9,São Paulo,4,3,3,14,9,15
10,Bragantino,4,3,3,13,11,15
11,Fortaleza,3,2,5,8,11,14
12,Criciúma,3,3,4,17,17,13
13,Juventude,3,3,4,12,13,13
14,Cuiabá,3,6,1,12,15,10
15,Vitória,2,5,3,12,17,9
16,Atlético-GO,2,6,2,9,14,8
17,Vasco da Gama,2,7,1,7,21,7
18,Corinthians,1,5,4,7,11,7
19,Grêmio,2,8,0,8,14,6
20,Fluminense,1,6,3,10,18,6
