Posição_10,Clube,Vitorias_10,Derrotas_10,Empates_10,Gols feitos_10,Gols sofridos_10,Pontos_10,Posição_38,Vitorias_38,Derrotas_38,Empates_38,Gols feitos_38,Gols sofridos_38,Pontos_38,Ano
1,Flamengo,7,1,2,18,6,23,2,21,8,9,59,29,72,2018
2,Sport,5,2,3,13,12,18,17,11,18,9,35,57,42,2018
3,Palmeiras,5,3,2,15,8,17,1,23,4,11,64,26,80,2018
4,Atlético-MG,5,3,2,17,14,17,6,17,13,8,56,43,59,2018
5,Cruzeiro,5,3,2,7,4,17,8,14,13,11,34,34,53,2018
6,São Paulo,4,1,5,14,11,17,5,16,7,15,46,34,63,2018
7,Grêmio,4,2,4,10,5,16,4,18,8,12,48,27,66,2018
8,Internacional,4,2,4,10,6,16,3,19,7,12,51,29,69,2018
9,Corinthians,4,3,3,12,8,15,13,11,16,11,34,35,44,2018
10,Fluminense,4,4,2,12,11,14,12,12,17,9,32,46,45,2018
11,América-MG,4,5,1,14,17,13,18,10,18,10,30,47,40,2018
12,Vasco da Gama,3,3,4,14,14,13,16,10,15,13,41,48,43,2018
13,Botafogo,3,3,4,11,11,13,9,13,13,12,38,46,51,2018
14,Santos,3,5,2,13,15,11,10,13,14,11,46,40,50,2018
15,Vitória,3,5,2,16,20,11,19,9,19,10,36,63,37,2018
16,Chapecoense,2,4,4,12,19,10,14,11,16,11,34,50,44,2018
17,Athletico-PR,2,5,3,10,12,9,7,16,13,9,54,37,57,2018
18,Paraná,2,5,3,6,13,9,20,4,23,11,18,57,23,2018
19,Bahia,2,6,2,6,14,8,11,12,14,12,39,41,48,2018
20,Ceará,0,6,4,4,14,4,15,10,14,14,32,38,44,2018
1,Internacional,6,2,2,15,6,20,2,20,8,10,61,35,70,2020
2,Atlético-MG,6,4,0,14,11,18,3,20,10,8,64,45,68,2020
3,Vasco da Gama,5,2,3,16,10,18,17,10,17,11,37,56,41,2020
4,São Paulo,5,2,3,15,11,18,4,18,8,12,59,41,66,2020
5,Palmeiras,4,0,6,14,9,18,7,15,10,13,51,37,58,2020
6,Flamengo,5,3,2,13,13,17,1,21,9,8,68,48,71,2020
7,Santos,4,3,3,14,12,15,8,14,12,12,52,51,54,2020
8,Grêmio,3,1,6,10,7,15,6,14,7,17,53,40,59,2020
9,Athletico-PR,4,4,2,10,9,14,9,15,15,8,38,36,53,2020
